product_or_process,functional_unit,co2,unit
"Custom pack for delivering a child, disposable","One disposable custom pack for delivering a baby",12.30,"kgCO2e/unit"
"Custom pack for delivering a child, reusable","One reusable custom pack for delivering a baby",6.90,"kgCO2e/unit"
"Speculum, single-use, plastic","Completion of 50 gynecologic examinations",8.40,"kgCO2e/unit"
"Speculum, reusable, stainless steel","Completion of 50 gynecologic examinations",3.10,"kgCO2e/unit"
"Flexible ureteroscope, single-use","Use of one single-use flexible ureteroscope",15.20,"kgCO2e/unit"
"Flexible ureteroscope, reusable","Use of one reusable flexible ureteroscope (including reprocessing)",9.10,"kgCO2e/unit"
"Latex examination gloves, box of 100","One box of 100 examination gloves",5.60,"kgCO2e/box"
"Nitrile examination gloves, box of 100","One box of 100 examination gloves",6.20,"kgCO2e/box"
"Paper hand towels, case of 3000","One case of 3000 folded paper towels",12.40,"kgCO2e/case"
"Recycled paper hand towels, case of 3000","One case of 3000 recycled paper towels",9.30,"kgCO2e/case"
"Alcohol-based hand rub, 500 mL bottle","One 500 mL bottle of hand rub",0.38,"kgCO2e/bottle"
"Alcohol-based hand rub, 5 L refill","One 5 L refill canister of hand rub",2.10,"kgCO2e/canister"
"Surgical mask type IIR, box of 50","One box of 50 surgical masks",3.10,"kgCO2e/box"
"FFP2 respirator, box of 20","One box of 20 respirators",4.80,"kgCO2e/box"
"Sterile drape, single-use","One sterile drape for a procedure",0.55,"kgCO2e/unit"
"Sterile drape, reusable (laundered)","One reusable drape (including laundering)",0.22,"kgCO2e/unit"
"Stainless steel surgical tray","One stainless steel tray",1.95,"kgCO2e/unit"
"Single-use plastic surgical tray","One disposable plastic tray",2.60,"kgCO2e/unit"
"Disinfectant detergent, 5 L canister","One 5 L canister of detergent-disinfectant",4.85,"kgCO2e/canister"
"Concentrated disinfectant detergent, 1 L (diluted)","One 1 L concentrate used for dilution",2.20,"kgCO2e/bottle"
"Toner cartridge, black, high capacity","One toner cartridge",8.60,"kgCO2e/unit"
"Remanufactured toner cartridge, black, high capacity","One remanufactured toner cartridge",5.40,"kgCO2e/unit"
"Saline infusion bag 1 L","One 1 L saline bag",0.22,"kgCO2e/unit"
"Saline infusion bag 1 L (reduced packaging)","One 1 L saline bag with reduced packaging",0.19,"kgCO2e/unit"
"DASRI waste bag 30 L, pack of 50","One pack of 50 waste bags",6.80,"kgCO2e/pack"
"DASRI waste bag 30 L, recycled content, pack of 50","One pack of 50 bags with recycled content",5.90,"kgCO2e/pack"
"Syringe 10 mL, sterile, Luer Lock","One sterile 10 mL syringe",0.045,"kgCO2e/unit"
"Syringe 10 mL, sterile, low-plastic design","One 10 mL syringe (low-plastic design)",0.038,"kgCO2e/unit"
"Infusion set with needle, sterile","One sterile infusion set with needle",0.12,"kgCO2e/unit"
"Infusion set with needle, low-plastic design","One low-plastic design infusion set with needle",0.10,"kgCO2e/unit"
